experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
manavgat_2021,10,15254,0.7436985032421627,2321,12933,0.1521568113281762
manavgat_2021,20,484,0.023597094242113988,28,456,0.05785123966942149
manavgat_2021,30,4545,0.2215884159719175,561,3984,0.12343234323432344
manavgat_2021,40,193,0.009409585100677685,18,175,0.09326424870466321
manavgat_2021,50,20,0.0009750865389303301,0,20,0.0
manavgat_2021,60,7,0.0003412802886256155,1,6,0.14285714285714285
manavgat_2021,80,8,0.00039003461557213205,6,2,0.75
bejis_2022,10,9043,0.5953258722843976,416,8627,0.04600243282096649
bejis_2022,20,3743,0.24641211323238973,615,3128,0.16430670585092172
bejis_2022,30,2207,0.14529295589203423,62,2145,0.02809243316719529
bejis_2022,40,168,0.011059907834101382,7,161,0.041666666666666664
bejis_2022,50,19,0.001250822909809085,0,19,0.0
bejis_2022,60,6,0.00039499670836076365,0,6,0.0
bejis_2022,80,4,0.00026333113890717575,0,4,0.0
