experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
manavgat_2021,10,15254,0.7436985032421627,2321,12933,0.1521568113281762
manavgat_2021,20,484,0.023597094242113988,28,456,0.05785123966942149
manavgat_2021,30,4545,0.2215884159719175,561,3984,0.12343234323432344
manavgat_2021,40,193,0.009409585100677685,18,175,0.09326424870466321
manavgat_2021,50,20,0.0009750865389303301,0,20,0.0
manavgat_2021,60,7,0.0003412802886256155,1,6,0.14285714285714285
manavgat_2021,80,8,0.00039003461557213205,6,2,0.75
